review_id,beer_id,state,state_id
0,0,Wisconsin,49
1,0,Tennessee,42
2,0,Massachusetts,21
3,0,Illinois,13
4,0,Florida,9
5,0,Connecticut,6
6,0,Connecticut,6
7,0,Colorado,5
8,0,Minnesota,23
9,0,New Jersey,30
10,0,Missouri,25
11,0,Massachusetts,21
12,0,Ohio,35
13,0,Minnesota,23
14,0,Illinois,13
15,0,Georgia,10
16,0,Colorado,5
17,0,Massachusetts,21
18,0,Rhode Island,39
19,0,Massachusetts,21
20,0,Maryland,20
21,0,Wisconsin,49
22,0,Tennessee,42
23,0,Massachusetts,21
24,0,Illinois,13
25,0,Florida,9
26,0,Connecticut,6
27,0,Connecticut,6
28,0,Colorado,5
29,0,Minnesota,23
30,0,New Jersey,30
31,0,Missouri,25
32,0,Massachusetts,21
33,0,Ohio,35
34,0,Minnesota,23
35,0,Illinois,13
36,0,Georgia,10
37,0,Colorado,5
38,0,Massachusetts,21
39,0,Rhode Island,39
40,0,Massachusetts,21
41,0,Maryland,20
42,0,Colorado,5
43,0,Vermont,45
44,0,California,4
45,0,Florida,9
46,0,Georgia,10
47,0,Georgia,10
48,0,West Virginia,48
49,0,Ohio,35
50,0,Pennsylvania,38
51,0,Massachusetts,21
52,0,Vermont,45
53,0,Illinois,13
54,0,Illinois,13
55,0,Florida,9
56,0,Oregon,37
57,0,Missouri,25
58,0,North Carolina,33
59,0,Illinois,13
60,0,New Jersey,30
61,0,New York,32
62,0,Illinois,13
63,0,Illinois,13
64,0,California,4
65,0,Ohio,35
66,0,Massachusetts,21
67,0,Florida,9
68,0,Wisconsin,49
69,0,Nebraska,27
70,0,Iowa,15
71,0,Minnesota,23
72,0,Iowa,15
73,0,Florida,9
74,0,New Jersey,30
75,0,Minnesota,23
76,0,Massachusetts,21
77,0,Massachusetts,21
78,0,Wisconsin,49
79,0,Minnesota,23
80,0,Arizona,2
81,0,Wisconsin,49
82,0,Iowa,15
83,0,Minnesota,23
84,0,Iowa,15
85,0,Louisiana,18
86,0,Michigan,22
87,0,Wisconsin,49
88,0,New York,32
89,0,Florida,9
90,0,Texas,43
91,0,Pennsylvania,38
92,0,Iowa,15
93,0,Illinois,13
94,0,New Jersey,30
95,0,Florida,9
96,0,Michigan,22
97,0,Texas,43
98,0,Texas,43
99,0,Iowa,15
100,0,California,4
101,0,Iowa,15
102,0,Massachusetts,21
103,0,Illinois,13
104,0,Georgia,10
105,0,Virginia,46
106,0,Pennsylvania,38
107,0,Iowa,15
108,0,Nevada,28
109,0,Texas,43
110,0,Colorado,5
111,0,Florida,9
112,0,Illinois,13
113,0,Florida,9
114,0,Minnesota,23
115,0,New York,32
116,0,New York,32
117,0,Missouri,25
118,0,Illinois,13
119,0,New Jersey,30
120,0,Pennsylvania,38
121,1,Minnesota,23
122,1,Illinois,13
123,1,California,4
124,1,Florida,9
125,1,Indiana,14
126,1,Illinois,13
127,1,Illinois,13
128,1,Indiana,14
129,1,Missouri,25
130,1,Massachusetts,21
131,1,California,4
132,1,Ohio,35
133,1,Indiana,14
134,1,Wisconsin,49
135,1,Indiana,14
136,1,Massachusetts,21
137,1,Missouri,25
138,1,Massachusetts,21
139,1,California,4
140,1,Rhode Island,39
141,1,Massachusetts,21
142,1,Vermont,45
143,1,Michigan,22
144,1,Minnesota,23
145,1,Illinois,13
146,1,California,4
147,1,Florida,9
148,1,Indiana,14
149,1,Illinois,13
150,1,Illinois,13
151,1,Indiana,14
152,1,Missouri,25
153,1,Massachusetts,21
154,1,California,4
155,1,Ohio,35
156,1,Indiana,14
157,1,Wisconsin,49
158,1,Indiana,14
159,1,Massachusetts,21
160,1,Missouri,25
161,1,Massachusetts,21
162,1,California,4
